"date","home.team","home.score","away.team","away.score"
"0018-08-17","Leganes",1,"Alaves",0
"0018-08-17","Valencia",1,"Las Palmas",0
"0019-08-17","Celta",2,"Sociedad",3
"0019-08-17","Girona",2,"Ath Madrid",2
"0019-08-17","Sevilla",1,"Espanol",1
"0020-08-17","Ath Bilbao",0,"Getafe",0
"0020-08-17","Barcelona",2,"Betis",0
"0020-08-17","La Coruna",0,"Real Madrid",3
"0021-08-17","Levante",1,"Villarreal",0
"0021-08-17","Malaga",0,"Eibar",1
"0025-08-17","Betis",2,"Celta",1
"0025-08-17","Sociedad",3,"Villarreal",0
"0026-08-17","Alaves",0,"Barcelona",2
"0026-08-17","Girona",1,"Malaga",0
"0026-08-17","Las Palmas",1,"Ath Madrid",5
"0026-08-17","Levante",2,"La Coruna",2
"0027-08-17","Eibar",0,"Ath Bilbao",1
"0027-08-17","Espanol",0,"Leganes",1
"0027-08-17","Getafe",0,"Sevilla",1
"0027-08-17","Real Madrid",2,"Valencia",2
"0008-09-17","Leganes",1,"Getafe",2
"0009-09-17","Barcelona",5,"Espanol",0
"0009-09-17","Real Madrid",1,"Levante",1
"0009-09-17","Sevilla",3,"Eibar",0
"0009-09-17","Valencia",0,"Ath Madrid",0
"0010-09-17","Ath Bilbao",2,"Girona",0
"0010-09-17","Celta",1,"Alaves",0
"0010-09-17","La Coruna",2,"Sociedad",4
"0010-09-17","Villarreal",3,"Betis",1
"0011-09-17","Malaga",1,"Las Palmas",3
"0015-09-17","Eibar",1,"Leganes",0
"0016-09-17","Ath Madrid",1,"Malaga",0
"0016-09-17","Betis",2,"La Coruna",1
"0016-09-17","Getafe",1,"Barcelona",2
"0016-09-17","Levante",1,"Valencia",1
"0017-09-17","Alaves",0,"Villarreal",3
"0017-09-17","Girona",0,"Sevilla",1
"0017-09-17","Las Palmas",1,"Ath Bilbao",0
"0017-09-17","Sociedad",1,"Real Madrid",3
"0018-09-17","Espanol",2,"Celta",1
"0019-09-17","Barcelona",6,"Eibar",1
"0019-09-17","Valencia",5,"Malaga",0
"0020-09-17","Ath Bilbao",1,"Ath Madrid",2
"0020-09-17","La Coruna",1,"Alaves",0
"0020-09-17","Leganes",0,"Girona",0
"0020-09-17","Real Madrid",0,"Betis",1
"0020-09-17","Sevilla",1,"Las Palmas",0
"0021-09-17","Celta",1,"Getafe",1
"0021-09-17","Levante",3,"Sociedad",0
"0021-09-17","Villarreal",0,"Espanol",0
"0023-09-17","Alaves",1,"Real Madrid",2
"0023-09-17","Ath Madrid",2,"Sevilla",0
"0023-09-17","Girona",0,"Barcelona",3
"0023-09-17","Malaga",3,"Ath Bilbao",3
"0024-09-17","Eibar",0,"Celta",4
"0024-09-17","Espanol",4,"La Coruna",1
"0024-09-17","Getafe",4,"Villarreal",0
"0024-09-17","Las Palmas",0,"Leganes",2
"0024-09-17","Sociedad",2,"Valencia",3
"0025-09-17","Betis",4,"Levante",0
"0029-09-17","Celta",3,"Girona",3
"0030-09-17","La Coruna",2,"Getafe",1
"0030-09-17","Leganes",0,"Ath Madrid",0
"0030-09-17","Levante",0,"Alaves",2
"0030-09-17","Sevilla",2,"Malaga",0
"0001-10-17","Barcelona",3,"Las Palmas",0
"0001-10-17","Real Madrid",2,"Espanol",0
"0001-10-17","Sociedad",4,"Betis",4
"0001-10-17","Valencia",3,"Ath Bilbao",2
"0001-10-17","Villarreal",3,"Eibar",0
"0013-10-17","Espanol",0,"Levante",0
"0014-10-17","Alaves",0,"Sociedad",2
"0014-10-17","Ath Bilbao",1,"Sevilla",0
"0014-10-17","Ath Madrid",1,"Barcelona",1
"0014-10-17","Getafe",1,"Real Madrid",2
"0015-10-17","Betis",3,"Valencia",6
"0015-10-17","Eibar",0,"La Coruna",0
"0015-10-17","Girona",1,"Villarreal",2
"0015-10-17","Malaga",0,"Leganes",2
"0016-10-17","Las Palmas",2,"Celta",5
"0021-10-17","Barcelona",2,"Malaga",0
"0021-10-17","Betis",2,"Alaves",0
"0021-10-17","Levante",1,"Getafe",1
"0021-10-17","Valencia",4,"Sevilla",0
"0022-10-17","Celta",0,"Ath Madrid",1
"0022-10-17","Leganes",1,"Ath Bilbao",0
"0022-10-17","Real Madrid",3,"Eibar",0
"0022-10-17","Villarreal",4,"Las Palmas",0
"0023-10-17","La Coruna",1,"Girona",2
"0023-10-17","Sociedad",1,"Espanol",1
"0028-10-17","Alaves",1,"Valencia",2
"0028-10-17","Ath Bilbao",0,"Barcelona",2
"0028-10-17","Ath Madrid",1,"Villarreal",1
"0028-10-17","Sevilla",2,"Leganes",1
"0029-10-17","Eibar",2,"Levante",2
"0029-10-17","Getafe",2,"Sociedad",1
"0029-10-17","Girona",2,"Real Madrid",1
"0029-10-17","Malaga",2,"Celta",1
"0030-10-17","Espanol",1,"Betis",0
"0030-10-17","Las Palmas",1,"La Coruna",3
"0003-11-17","Betis",2,"Getafe",2
"0004-11-17","Alaves",1,"Espanol",0
"0004-11-17","Barcelona",2,"Sevilla",1
"0004-11-17","La Coruna",0,"Ath Madrid",1
"0004-11-17","Valencia",3,"Leganes",0
"0005-11-17","Celta",3,"Ath Bilbao",1
"0005-11-17","Levante",1,"Girona",2
"0005-11-17","Real Madrid",3,"Las Palmas",0
"0005-11-17","Sociedad",3,"Eibar",1
"0005-11-17","Villarreal",2,"Malaga",0
"0017-11-17","Girona",1,"Sociedad",1
"0018-11-17","Ath Madrid",0,"Real Madrid",0
"0018-11-17","Getafe",4,"Alaves",1
"0018-11-17","Leganes",0,"Barcelona",3
"0018-11-17","Sevilla",2,"Celta",1
"0019-11-17","Ath Bilbao",1,"Villarreal",1
"0019-11-17","Espanol",0,"Valencia",2
"0019-11-17","Las Palmas",0,"Levante",2
"0019-11-17","Malaga",3,"La Coruna",2
"0020-11-17","Eibar",5,"Betis",0
"0024-11-17","Celta",1,"Leganes",0
"0025-11-17","Alaves",1,"Eibar",2
"0025-11-17","Betis",2,"Girona",2
"0025-11-17","Levante",0,"Ath Madrid",5
"0025-11-17","Real Madrid",3,"Malaga",2
"0026-11-17","La Coruna",2,"Ath Bilbao",2
"0026-11-17","Sociedad",2,"Las Palmas",2
"0026-11-17","Valencia",1,"Barcelona",1
"0026-11-17","Villarreal",2,"Sevilla",3
"0027-11-17","Espanol",1,"Getafe",0
"0001-12-17","Malaga",0,"Levante",0
"0002-12-17","Ath Bilbao",0,"Real Madrid",0
"0002-12-17","Ath Madrid",2,"Sociedad",1
"0002-12-17","Barcelona",2,"Celta",2
"0002-12-17","Sevilla",2,"La Coruna",0
"0003-12-17","Eibar",3,"Espanol",1
"0003-12-17","Getafe",1,"Valencia",0
"0003-12-17","Las Palmas",1,"Betis",0
"0003-12-17","Leganes",3,"Villarreal",1
"0004-12-17","Girona",2,"Alaves",3
"0008-12-17","Alaves",2,"Las Palmas",0
"0009-12-17","Getafe",0,"Eibar",0
"0009-12-17","La Coruna",1,"Leganes",0
"0009-12-17","Real Madrid",5,"Sevilla",0
"0009-12-17","Valencia",2,"Celta",1
"0010-12-17","Betis",0,"Ath Madrid",1
"0010-12-17","Levante",1,"Ath Bilbao",2
"0010-12-17","Sociedad",0,"Malaga",2
"0010-12-17","Villarreal",0,"Barcelona",2
"0011-12-17","Espanol",0,"Girona",1
"0015-12-17","Sevilla",0,"Levante",0
"0016-12-17","Ath Bilbao",0,"Sociedad",0
"0016-12-17","Ath Madrid",1,"Alaves",0
"0016-12-17","Eibar",2,"Valencia",1
"0017-12-17","Barcelona",4,"La Coruna",0
"0017-12-17","Celta",0,"Villarreal",1
"0017-12-17","Girona",1,"Getafe",0
"0017-12-17","Las Palmas",2,"Espanol",2
"0018-12-17","Malaga",0,"Betis",2
"0019-12-17","Levante",0,"Leganes",0
"0020-12-17","Getafe",2,"Las Palmas",0
"0020-12-17","Sociedad",3,"Sevilla",1
"0021-12-17","Alaves",1,"Malaga",0
"0021-12-17","Eibar",4,"Girona",1
"0022-12-17","Betis",0,"Ath Bilbao",2
"0022-12-17","Espanol",1,"Ath Madrid",0
"0023-12-17","La Coruna",1,"Celta",3
"0023-12-17","Real Madrid",0,"Barcelona",3
"0023-12-17","Valencia",0,"Villarreal",1
"0006-01-18","Ath Madrid",2,"Getafe",0
"0006-01-18","Las Palmas",1,"Eibar",2
"0006-01-18","Sevilla",3,"Betis",5
"0006-01-18","Valencia",2,"Girona",1
"0007-01-18","Ath Bilbao",2,"Alaves",0
"0007-01-18","Barcelona",3,"Levante",0
"0007-01-18","Celta",2,"Real Madrid",2
"0007-01-18","Leganes",1,"Sociedad",0
"0007-01-18","Villarreal",1,"La Coruna",1
"0008-01-18","Malaga",0,"Espanol",1
"0012-01-18","Getafe",1,"Malaga",0
"0013-01-18","Eibar",0,"Ath Madrid",1
"0013-01-18","Girona",6,"Las Palmas",0
"0013-01-18","La Coruna",1,"Valencia",2
"0013-01-18","Real Madrid",0,"Villarreal",1
"0014-01-18","Alaves",1,"Sevilla",0
"0014-01-18","Espanol",1,"Ath Bilbao",1
"0014-01-18","Levante",0,"Celta",1
"0014-01-18","Sociedad",2,"Barcelona",4
"0015-01-18","Betis",3,"Leganes",2
"0019-01-18","Getafe",2,"Ath Bilbao",2
"0020-01-18","Ath Madrid",1,"Girona",1
"0020-01-18","Espanol",0,"Sevilla",3
"0020-01-18","Las Palmas",2,"Valencia",1
"0020-01-18","Villarreal",2,"Levante",1
"0021-01-18","Alaves",2,"Leganes",2
"0021-01-18","Betis",0,"Barcelona",5
"0021-01-18","Real Madrid",7,"La Coruna",1
"0021-01-18","Sociedad",1,"Celta",2
"0022-01-18","Eibar",1,"Malaga",1
"0026-01-18","Ath Bilbao",1,"Eibar",1
"0027-01-18","La Coruna",2,"Levante",2
"0027-01-18","Malaga",0,"Girona",0
"0027-01-18","Valencia",1,"Real Madrid",4
"0027-01-18","Villarreal",4,"Sociedad",2
"0028-01-18","Ath Madrid",3,"Las Palmas",0
"0028-01-18","Barcelona",2,"Alaves",1
"0028-01-18","Leganes",3,"Espanol",2
"0028-01-18","Sevilla",1,"Getafe",1
"0029-01-18","Celta",3,"Betis",2
"0002-02-18","Sociedad",5,"La Coruna",0
"0003-02-18","Alaves",2,"Celta",1
"0003-02-18","Betis",2,"Villarreal",1
"0003-02-18","Eibar",5,"Sevilla",1
"0003-02-18","Levante",2,"Real Madrid",2
"0004-02-18","Ath Madrid",1,"Valencia",0
"0004-02-18","Espanol",1,"Barcelona",1
"0004-02-18","Getafe",0,"Leganes",0
"0004-02-18","Girona",2,"Ath Bilbao",0
"0005-02-18","Las Palmas",1,"Malaga",0
"0009-02-18","Ath Bilbao",0,"Las Palmas",0
"0010-02-18","Leganes",0,"Eibar",1
"0010-02-18","Malaga",0,"Ath Madrid",1
"0010-02-18","Real Madrid",5,"Sociedad",2
"0010-02-18","Villarreal",1,"Alaves",2
"0011-02-18","Barcelona",0,"Getafe",0
"0011-02-18","Celta",2,"Espanol",2
"0011-02-18","Sevilla",1,"Girona",0
"0011-02-18","Valencia",3,"Levante",1
"0012-02-18","La Coruna",0,"Betis",1
"0016-02-18","Girona",3,"Leganes",0
"0017-02-18","Alaves",1,"La Coruna",0
"0017-02-18","Eibar",0,"Barcelona",2
"0017-02-18","Las Palmas",1,"Sevilla",2
"0017-02-18","Malaga",1,"Valencia",2
"0018-02-18","Ath Madrid",2,"Ath Bilbao",0
"0018-02-18","Betis",3,"Real Madrid",5
"0018-02-18","Espanol",1,"Villarreal",1
"0018-02-18","Sociedad",3,"Levante",0
"0019-02-18","Getafe",3,"Celta",0
"0021-02-18","Leganes",1,"Real Madrid",3
"0023-02-18","La Coruna",0,"Espanol",0
"0024-02-18","Barcelona",6,"Girona",1
"0024-02-18","Celta",2,"Eibar",0
"0024-02-18","Leganes",0,"Las Palmas",0
"0024-02-18","Real Madrid",4,"Alaves",0
"0025-02-18","Ath Bilbao",2,"Malaga",1
"0025-02-18","Sevilla",2,"Ath Madrid",5
"0025-02-18","Valencia",2,"Sociedad",1
"0025-02-18","Villarreal",1,"Getafe",0
"0026-02-18","Levante",0,"Betis",2
"0027-02-18","Espanol",1,"Real Madrid",0
"0027-02-18","Girona",1,"Celta",0
"0028-02-18","Ath Bilbao",1,"Valencia",1
"0028-02-18","Ath Madrid",4,"Leganes",0
"0028-02-18","Eibar",1,"Villarreal",0
"0028-02-18","Getafe",3,"La Coruna",0
"0028-02-18","Malaga",0,"Sevilla",1
"0001-03-18","Alaves",1,"Levante",0
"0001-03-18","Betis",0,"Sociedad",0
"0001-03-18","Las Palmas",1,"Barcelona",1
"0003-03-18","La Coruna",1,"Eibar",1
"0003-03-18","Leganes",2,"Malaga",0
"0003-03-18","Real Madrid",3,"Getafe",1
"0003-03-18","Sevilla",2,"Ath Bilbao",0
"0003-03-18","Villarreal",0,"Girona",2
"0004-03-18","Barcelona",1,"Ath Madrid",0
"0004-03-18","Levante",1,"Espanol",1
"0004-03-18","Sociedad",2,"Alaves",1
"0004-03-18","Valencia",2,"Betis",0
"0005-03-18","Celta",2,"Las Palmas",1
"0009-03-18","Girona",2,"La Coruna",0
"0010-03-18","Eibar",1,"Real Madrid",2
"0010-03-18","Getafe",0,"Levante",1
"0010-03-18","Malaga",0,"Barcelona",2
"0010-03-18","Sevilla",0,"Valencia",2
"0011-03-18","Ath Bilbao",2,"Leganes",0
"0011-03-18","Ath Madrid",3,"Celta",0
"0011-03-18","Espanol",2,"Sociedad",1
"0011-03-18","Las Palmas",0,"Villarreal",2
"0012-03-18","Alaves",1,"Betis",3
"0016-03-18","Levante",2,"Eibar",1
"0017-03-18","Betis",3,"Espanol",0
"0017-03-18","La Coruna",1,"Las Palmas",1
"0017-03-18","Sociedad",1,"Getafe",2
"0017-03-18","Valencia",3,"Alaves",1
"0018-03-18","Barcelona",2,"Ath Bilbao",0
"0018-03-18","Celta",0,"Malaga",0
"0018-03-18","Leganes",2,"Sevilla",1
"0018-03-18","Real Madrid",6,"Girona",3
"0018-03-18","Villarreal",2,"Ath Madrid",1
"0031-03-18","Ath Bilbao",1,"Celta",1
"0031-03-18","Girona",1,"Levante",1
"0031-03-18","Las Palmas",0,"Real Madrid",3
"0031-03-18","Sevilla",2,"Barcelona",2
"0001-04-18","Ath Madrid",1,"La Coruna",0
"0001-04-18","Eibar",0,"Sociedad",0
"0001-04-18","Espanol",0,"Alaves",0
"0001-04-18","Leganes",0,"Valencia",1
"0001-04-18","Malaga",1,"Villarreal",0
"0002-04-18","Getafe",0,"Betis",1
"0006-04-18","La Coruna",3,"Malaga",2
"0007-04-18","Alaves",2,"Getafe",0
"0007-04-18","Barcelona",3,"Leganes",1
"0007-04-18","Betis",2,"Eibar",0
"0007-04-18","Celta",4,"Sevilla",0
"0008-04-18","Levante",2,"Las Palmas",1
"0008-04-18","Real Madrid",1,"Ath Madrid",1
"0008-04-18","Sociedad",5,"Girona",0
"0008-04-18","Valencia",1,"Espanol",0
"0009-04-18","Villarreal",1,"Ath Bilbao",3
"0013-04-18","Girona",0,"Betis",1
"0014-04-18","Ath Bilbao",2,"La Coruna",3
"0014-04-18","Barcelona",2,"Valencia",1
"0014-04-18","Las Palmas",0,"Sociedad",1
"0014-04-18","Leganes",1,"Celta",0
"0014-04-18","Sevilla",2,"Villarreal",2
"0015-04-18","Ath Madrid",3,"Levante",0
"0015-04-18","Eibar",0,"Alaves",1
"0015-04-18","Getafe",1,"Espanol",0
"0015-04-18","Malaga",1,"Real Madrid",2
"0017-04-18","Celta",2,"Barcelona",2
"0017-04-18","La Coruna",0,"Sevilla",0
"0017-04-18","Villarreal",2,"Leganes",1
"0018-04-18","Espanol",0,"Eibar",1
"0018-04-18","Real Madrid",1,"Ath Bilbao",1
"0018-04-18","Valencia",1,"Getafe",2
"0019-04-18","Alaves",1,"Girona",2
"0019-04-18","Betis",1,"Las Palmas",0
"0019-04-18","Levante",1,"Malaga",0
"0019-04-18","Sociedad",3,"Ath Madrid",0
"0020-04-18","Leganes",0,"La Coruna",0
"0021-04-18","Celta",1,"Valencia",1
"0021-04-18","Eibar",0,"Getafe",1
"0022-04-18","Ath Madrid",0,"Betis",0
"0022-04-18","Girona",0,"Espanol",2
"0022-04-18","Las Palmas",0,"Alaves",4
"0022-04-18","Malaga",2,"Sociedad",0
"0023-04-18","Ath Bilbao",1,"Levante",3
"0027-04-18","Levante",2,"Sevilla",1
"0028-04-18","Espanol",1,"Las Palmas",1
"0028-04-18","Real Madrid",2,"Leganes",1
"0028-04-18","Sociedad",3,"Ath Bilbao",1
"0028-04-18","Villarreal",4,"Celta",1
"0029-04-18","Alaves",0,"Ath Madrid",1
"0029-04-18","Getafe",1,"Girona",1
"0029-04-18","La Coruna",2,"Barcelona",4
"0029-04-18","Valencia",0,"Eibar",0
"0030-04-18","Betis",2,"Malaga",1
"0004-05-18","Sevilla",1,"Sociedad",0
"0005-05-18","Ath Bilbao",2,"Betis",0
"0005-05-18","Celta",1,"La Coruna",1
"0005-05-18","Girona",1,"Eibar",4
"0005-05-18","Villarreal",1,"Valencia",0
"0006-05-18","Ath Madrid",0,"Espanol",2
"0006-05-18","Barcelona",2,"Real Madrid",2
"0006-05-18","Las Palmas",0,"Getafe",1
"0006-05-18","Malaga",0,"Alaves",3
"0007-05-18","Leganes",0,"Levante",3
"0009-05-18","Barcelona",5,"Villarreal",1
"0009-05-18","Sevilla",3,"Real Madrid",2
"0012-05-18","Alaves",3,"Ath Bilbao",1
"0012-05-18","Betis",2,"Sevilla",2
"0012-05-18","Eibar",1,"Las Palmas",0
"0012-05-18","Getafe",0,"Ath Madrid",1
"0012-05-18","Girona",0,"Valencia",1
"0012-05-18","La Coruna",2,"Villarreal",4
"0012-05-18","Real Madrid",6,"Celta",0
"0012-05-18","Sociedad",3,"Leganes",2
"0013-05-18","Espanol",4,"Malaga",1
"0013-05-18","Levante",5,"Barcelona",4
"0019-05-18","Celta",4,"Levante",2
"0019-05-18","Las Palmas",1,"Girona",2
"0019-05-18","Leganes",3,"Betis",2
"0019-05-18","Malaga",0,"Getafe",1
"0019-05-18","Sevilla",1,"Alaves",0
"0019-05-18","Villarreal",2,"Real Madrid",2
"0020-05-18","Ath Bilbao",0,"Espanol",1
"0020-05-18","Ath Madrid",2,"Eibar",2
"0020-05-18","Barcelona",1,"Sociedad",0
